SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Gajanan Kirtikar,Shivsena,569018,1045,570063,60.55
2,Sanjay Nirupam,Indian National Congress,309517,218,309735,32.9
3,Ajay Kailashnath Dubey,Jan Adhikar Party,2081,2,2083,0.22
4,Arora Surinder Mohan,Bharat Jan Aadhar Party,1180,0,1180,0.13
5,Chandrashekhar Sharma,Bhartiya Manavadhikaar Federal Party,574,0,574,0.06
6,Chhaya Sunil Tiwari,Janata Congress,1158,0,1158,0.12
7,Dharmendra Shriram Pal,Rashtravadi Kranti Dal,475,0,475,0.05
8,Vijay Marothi Koyale,Rashtriya Maratha Party,489,2,491,0.05
9,Shakuntala Mariya Kushalkar,Prabuddha Republican Party,749,0,749,0.08
10,Shaikh Abusalim Arunahak,Rashtriya Ulama Council,449,0,449,0.05
11,Subhash Passi,Samajwadi Party,5847,3,5850,0.62
12,Suresh Sundar Shetty,Vanchit Bahujan Aaghadi,23367,55,23422,2.49
13,Harishankar Shivpujan Yadav,Aapki Apni Party (Peoples),441,0,441,0.05
14,Aftab Mashwood Khan,Independent,499,0,499,0.05
15,Gajanan Tukaram Sonkamble,Independent,848,0,848,0.09
16,Prabhakar Tarapado Sadhu,Independent,1912,0,1912,0.2
17,Madan Banwarilal Agrawal,Independent,1300,0,1300,0.14
18,Adv. Mitesh Varshney,Independent,638,0,638,0.07
19,Vijendra Kumar Rai,Independent,407,0,407,0.04
20,Shashikant Kundalik Kadam,Independent,442,1,443,0.05
21,Sanjay Vishwanath Sakpal,Independent,555,0,555,0.06
22,NOTA,None of the Above,18185,40,18225,1.94
,Total, ,940131,1366,941497,
