SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,IMRAN MUSTAFA KHAN,Bahujan Samaj Party,4190,5,4195,0.47
2,DUTT PRIYA SUNIL,Indian National Congress,356298,369,356667,39.55
3,POONAM MAHAJAN,Bharatiya Janata Party,485815,857,486672,53.97
4,ABDUR REHMAN ANJARIA,Vanchit Bahujan Aaghadi,33626,77,33703,3.74
5,KURBAN SHAHADAT HUSSAIN,Rashtriya Ulama Council,613,0,613,0.07
6,ADV. FEROZ A. SHAIKH,Jan Adhikar Party,411,0,411,0.05
7,MILIND (ANNA) KAMBLE,Bharat Jan Aadhar Party,486,2,488,0.05
8,MEHEDI IQBAL HASAN SAYYED,Ambedkar National Congress,261,0,261,0.03
9,MOHAMMAD MEHMOOD SYED SHAH,All India Minorities Front,722,0,722,0.08
10,MOHAMMAD MOBIN SHAIKH (AZMI),Peace Party,671,0,671,0.07
11,RAJESH NANDLAL BHAVSAR,Bhartiya Manavadhikaar Federal Party,284,0,284,0.03
12,AKSHAY KACHARU SANAP,Independent,454,0,454,0.05
13,ANKUSH RAMCHANDRA KARANDE,Independent,535,0,535,0.06
14,JOY NAGESH BHOSLE,Independent,942,0,942,0.1
15,NOORUDDIN AFTAB AZIMUDDIN SAYYED,Independent,858,0,858,0.1
16,MOHD. YAHIYA SIDDIQUE,Independent,1073,0,1073,0.12
17,ADV. VANSH BAHADUR SABHAJEET YADAV,Independent,496,1,497,0.06
18,SUNDER BABURAO PADMUKH,Independent,989,0,989,0.11
19,SNEHA (SAGAR) NIVRUTTI KALE,Independent,759,0,759,0.08
20,HARSHVARDHAN RAMSURESH PANDEY,Independent,321,0,321,0.04
21,NOTA,None of the Above,10647,22,10669,1.18
,Total, ,900451,1333,901784,
