SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Arvind Ganpat Sawant,Shivsena,420530,1407,421937,52.64
2,Gautam Sureshkumar Mistrilal,Bahujan Samaj Party,4320,9,4329,0.54
3,Deora Milind Murli,Indian National Congress,321362,508,321870,40.15
4,Dr. Anil Kumar,Vanchit Bahujan Aaghadi,30213,135,30348,3.79
5,Abbas F. Chhatriwala,Jan Adhikar Party,528,0,528,0.07
6,Irfan Shaikh,Ambedkarite Party of India,1391,0,1391,0.17
7,Adv. Ramchandra N. Kachave,Kranti Kari Jai Hind Sena,735,2,737,0.09
8,Shehbaj Rathod,Jai Maha Bharath Party,1347,0,1347,0.17
9,Adv. Sahil L . Shah,Bhartiya Manavadhikaar Federal Party,513,1,514,0.06
10,Hamir kalidas Vinjuda,Bahujan Republican Socialist Party,496,0,496,0.06
11,Rajesh B. Dayal,Independent,449,0,449,0.06
12,Shankar Sonawane,Independent,876,3,879,0.11
13,Sai Shrivastav,Independent,1670,1,1671,0.21
14,NOTA,None of the Above,15071,44,15115,1.89
,Total, ,799501,2110,801611,
