SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. K. C. Padavi,Indian National Congress,541930,1577,543507,42.4
2,Rekha Suresh Desai,Bahujan Samaj Party,11452,14,11466,0.89
3,Dr. Heena Vijaykumar Gavit,Bharatiya Janata Party,637226,1910,639136,49.86
4,Anturlikar Sushil Suresh,Vanchit Bahujan Aaghadi,25594,108,25702,2.01
5,Krishna Thoga Gavit,Bhartiya Tribal Party,4433,5,4438,0.35
6,Sandip Abhimanyu Valvi,Bahujan Mukti Party,2193,3,2196,0.17
7,Ajay Karamsing Gavit,Independent,4492,5,4497,0.35
8,Arjunsing Diwansing Vasave,Independent,2935,1,2936,0.23
9,Ashok Daulatsing Padvi,Independent,4929,1,4930,0.38
10,Koli Ananda Sukalal,Independent,7183,2,7185,0.56
11,Dr. Natawadkar Suhas Jayant,Independent,13722,98,13820,1.08
12,NOTA,None of the Above,21902,23,21925,1.71
,Total, ,1277991,3747,1281738,
