SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. Ahire Vaibhav Shantaram,Bahujan Samaj Party,5685,34,5719,0.51
2,Godse Hemant Tukaram,Shivsena,562034,1565,563599,50.27
3,Sameer Magan Bhujbal,Nationalist Congress Party,270854,541,271395,24.21
4,Jawale Soniya Ramnath,Bhartiya Tribal Party,6911,41,6952,0.62
5,Pavan Chandrakant Pawar,Vanchit Bahujan Aaghadi,109836,145,109981,9.81
6,Vinod Vasant Shirsath,Hindustan Janta Party,1351,11,1362,0.12
7,Shivnath Vithoba Kasar,Bahujan Mukti Party,865,1,866,0.08
8,Sanjay Sukhdev Ghodke,Bahujan Republican Socialist Party,899,0,899,0.08
9,Aher Sharad Keru,Independent,1386,1,1387,0.12
10,Kanoje Prakash Giridhar,Independent,921,1,922,0.08
11,Kedar Sindhubai Ravindra,Independent,1734,2,1736,0.15
12,Adv. Kokate Manikrao Shivajirao,Independent,134229,298,134527,12
13,Devidas Piraji Sarkate,Independent,4274,0,4274,0.38
14,Dhananjay Anil Bhawsar,Independent,1883,2,1885,0.17
15,Priyanka Ramrao Shirole,Independent,2197,9,2206,0.2
16,Vilas Madhukar Desale (Patil),Independent,3826,0,3826,0.34
17,Sharad Damu Dhanrao,Independent,835,0,835,0.07
18,Sudhir Shridhar Deshmukh,Independent,1881,0,1881,0.17
19,NOTA,None of the Above,6952,28,6980,0.62
,Total, ,1118553,2679,1121232,
