SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shivsena,591605,5035,596640,49.52
2,Ranajagjitsinha Padmasinha Patil,Nationalist Congress Party,464747,4327,469074,38.94
3,Dr. Shivaji Pandharinath Oman,Bahujan Samaj Party,5903,38,5941,0.49
4,Arjun (Dada) Salgar,Vanchit Bahujan Aaghadi,98108,471,98579,8.18
5,Annasaheb Ramchandra Rathod,BhartiyaBahujanKranti Dal,1882,19,1901,0.16
6,Deepak Mahadav Tate,Bhapase Party,1428,6,1434,0.12
7,Phulsure Vishwanath Sadashiv,Kranti Kari Jai Hind Sena,1315,7,1322,0.11
8,Aryanraje Kisanrao Shinde,Independent,1372,2,1374,0.11
9,Gore Netaji Nagnathrao,Independent,6672,7,6679,0.55
10,Jagannath Nivrutti Munde,Independent,2587,5,2592,0.22
11,Tukaram Dasrao Gangawane,Independent,1716,1,1717,0.14
12,Dr. Vasant Raghunath Munde,Independent,1929,1,1930,0.16
13,Shankar Pandurang Gaikwad,Independent,2066,3,2069,0.17
14,Sayyad Sultan Ladkhan,Independent,3452,2,3454,0.29
15,NOTA,None of the Above,9986,38,10024,0.83
,Total, ,1194768,9962,1204730,
