SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Rajendra Dhedya Gavit,Shivsena,579989,490,580479,48.3
2,Sanjay Laxman Tambda,Bahujan Samaj Party,13439,7,13446,1.12
3,Devram Zipar Kurkute,Ambedkarite Party of India,8209,4,8213,0.68
4,Baliram Sukur Jadhav,Bahujan Vikas Aaghadi,491391,205,491596,40.9
5,Comrad Shankar Badade,Marxist Leninist Party of India (Red Flag),11917,1,11918,0.99
6,Suresh Arjun Padavi,Vanchit Bahujan Aaghadi,13715,13,13728,1.14
7,Sanjay Rama Kohkera,Bahujan Mukti Party,6180,5,6185,0.51
8,Dattaram Jayram Karbat,Independent,13921,11,13932,1.16
9,Bhondave Tai Maruti,Independent,5304,0,5304,0.44
10,Raju Damu Lade,Independent,10217,1,10218,0.85
11,Vishnu Kakadya Padavi,Independent,9902,2,9904,0.82
12,Swapnil Mahadev Koli,Independent,7539,0,7539,0.63
13,NOTA,None of the Above,29463,16,29479,2.45
,Total, ,1201186,755,1201941,
