SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Uttam Pandurang Shinde,Bahujan Samaj Party,4779,13,4792,0.46
2,Girish Bhalchandra Bapat,Bharatiya Janata Party,631875,960,632835,61.13
3,Mohan Joshi,Indian National Congress,307870,337,308207,29.77
4,Anil Narayan Jadhav,Vanchit Bahujan Aaghadi,64734,59,64793,6.26
5,Amol Jayraj Shinde,Hum Bhartiya Party,956,3,959,0.09
6,Krupal Paluskar,Prabuddha Republican Party,333,0,333,0.03
7,Chincholikar Jayant Eknath,Bahujan Republican Socialist Party,343,0,343,0.03
8,Prof. Nalawade Hanmant Mahadeo,Ambedkarite Party of India,383,0,383,0.04
9,Nikhil Umesh Zingade,Bharatiya Praja Surajya Paksha,225,0,225,0.02
10,Balasaheb Misal Patil,Bahujan Mukti Party,779,1,780,0.08
11,Adv. Mahesh Gajendragadkar,Swarna Bharat Party,445,1,446,0.04
12,Adv. Ramesh Devaram Dharmavat,People’s Union Party,546,1,547,0.05
13,Rajesh Surendrakumar Agarwal,Hamari Apni Party,847,0,847,0.08
14,Sayyad Raj Faiyaz,Bhartiya Kisan Party,601,0,601,0.06
15,Sim Khirid,Bahujan Maha Party,485,2,487,0.05
16,Suhas Popat Gajarmal,Rashtriya Janshakti Party (Secular),1117,0,1117,0.11
17,Amol Alias Yabes S. Tujare,Independent,624,0,624,0.06
18,Anand Prakash Vanjape,Independent,1343,0,1343,0.13
19,Adv. Kumar Devba Kalel Patil,Independent,524,1,525,0.05
20,Jafar Khursid Choudhari,Independent,554,0,554,0.05
21,Javed Shabbir Sayyed,Independent,339,0,339,0.03
22,Johnson Vasant Kolhapure,Independent,647,0,647,0.06
23,Ravindra Bansiram Mahapure,Independent,170,1,171,0.02
24,Rakesh Prabhakar Chavan,Independent,207,0,207,0.02
25,Rahul Vishwas Joshi,Independent,425,1,426,0.04
26,Vijay Laxaman Saroade,Independent,230,0,230,0.02
27,Sawant Chandrakant Parmeshwar,Independent,160,1,161,0.02
28,Sanjay Baburao Jadhav,Independent,308,1,309,0.03
29,Hemant Baburao Kolekar Patil Alias Hemant Patil,Independent,264,1,265,0.03
30,Kshirsagar Kanchan Devdas,Independent,441,0,441,0.04
31,Znyosho Vijayprakash,Independent,298,0,298,0.03
32,NOTA,None of the Above,10972,29,11001,1.06
,Total, ,1033824,1412,1035236,
