SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anant Geete,Shivsena,452942,2588,455530,44.42
2,Tatkare Sunil Dattatray,Nationalist Congress Party,484563,2405,486968,47.49
3,Milind B. Salvi,Bahujan Samaj Party,6333,23,6356,0.62
4,Gajendra Parshuram Turbadkar,Kranti Kari Jai Hind Sena,2187,5,2192,0.21
5,Nathuram Hate,Bahujan Mukti Party,1417,24,1441,0.14
6,Prakash Sakharam Kalke,Bhartiya Kisan Party,807,16,823,0.08
7,Suman Bhaskar Koli,Vanchit Bahujan Aaghadi,23042,154,23196,2.26
8,Sandip Pandurang Parte,Bahujan Maha Party,1481,1,1482,0.14
9,Avinash Vasant Patil,Independent,4686,3,4689,0.46
10,Ghag Sanjay Arjun,Independent,1416,1,1417,0.14
11,Madhukar Mahadev Khamkar,Independent,1049,0,1049,0.1
12,Munafar Jainubhidin Choudhary,Independent,1211,4,1215,0.12
13,Yogesh Kadam,Independent,1470,6,1476,0.14
14,Sunil Pandurang Tatkare,Independent,4120,6,4126,0.4
15,Sunil Sakharam Tatkare,Independent,9746,6,9752,0.95
16,Subhash Janardan Patil,Independent,12264,1,12265,1.2
17,NOTA,None of the Above,11435,55,11490,1.12
,Total, ,1020169,5298,1025467,
