SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kishore Uttamrao Gajbhiye,Indian National Congress,468738,1605,470343,39.3
2,Krupal Balaji Tumane,Shivsena,594827,2299,597126,49.9
3,Subhash Dharamdas Gajbhiye,Bahujan Samaj Party,44242,85,44327,3.7
4,Archana Chandrakumar Ukey,Rashtriya Jansambhavna Party,8698,16,8714,0.73
5,Dr. L.J. Kanhekar,Peoples Party of India (Democratic),1498,7,1505,0.13
6,Kiran Premkumar Rodge (Patankar),Vanchit Bahujan Aaghadi,36218,122,36340,3.04
7,Chandrabhan Baliram Ramteke,Rashtriya Jansurajya Party,1774,5,1779,0.15
8,Com. BANDU RAMCHANDRA MESHRAM,Communist Party of India (Marxist-Leninist) Red Star,1417,4,1421,0.12
9,Dhiman Vinod Bhivaji Patil,Ambedkarite Party of India,2771,8,2779,0.23
10,Shailesh Sambhaji Janbandhu,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1083,0,1083,0.09
11,Anil Mahadeo Dhone,Independent,1654,7,1661,0.14
12,Gautam Wasnik,Independent,1410,3,1413,0.12
13,Tumane Kanteshwar Khushalji,Independent,2394,3,2397,0.2
14,Professor Dr. Natthurao Madhavrao Lokhande,Independent,2218,4,2222,0.19
15,Sandesh Bhioram Bhalekar,Independent,3826,12,3838,0.32
16,Sonali Ravindra Bagade,Independent,7861,15,7876,0.66
17,NOTA,None of the Above,11800,120,11920,1
,Total, ,1192429,4315,1196744,
