SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kishor Sidu Varak,Bahujan Samaj Party,6822,46,6868,0.76
2,Navinchandra Bhalchandra Bandivadekar,Indian National Congress,63013,286,63299,7.02
3,Vinayak Raut,Shivsena,456013,2009,458022,50.83
4,Nilesh Narayan Rane,"Maharashtra Swabhimaan Paksh,",278626,1074,279700,31.04
5,Bhikuram Kashiram Palkar,Bahujan Mukti Party,5895,9,5904,0.66
6,Maruti Ramchandra Joshi,Vanchit Bahujan Aaghadi,30639,243,30882,3.43
7,Rajesh Dilipkumar Jadhav,Bahujan Republican Socialist Party,9563,2,9565,1.06
8,Adv. Sanjay Sharad Gangnaik,Samajwadi Forward Bloc,2133,1,2134,0.24
9,Amberkar Pandharinath Vidyadhar,Independent,3252,5,3257,0.36
10,Narayan Dasharath Gavas,Independent,5629,4,5633,0.63
11,Nilesh Bhikaji Bhatade,Independent,17667,1,17668,1.96
12,Vinayak Lavu Raut,Independent,4388,5,4393,0.49
13,NOTA,None of the Above,13715,62,13777,1.53
,Total, ,897355,3747,901102,
