SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr.Ulhas Vasudeo Patil,Indian National Congress,318740,764,319504,29.23
2,Khadse Raksha Nikhil,Bharatiya Janata Party,652212,3174,655386,59.96
3,Dr.Yogendra Vitthal Kolte,Bahujan Samaj Party,5690,15,5705,0.52
4,Ajit Namdar Tadvi,Rastriya Aam Jan Seva Party,1408,17,1425,0.13
5,Adakmol Rohidas Ramesh,Ambedkarite Party of India,1670,9,1679,0.15
6,Nitin Pralhad Kandelkar,Vanchit Bahujan Aaghadi,88108,257,88365,8.08
7,Madhukar Sopan Patil,Hindustan Janta Party,1606,1,1607,0.15
8,Roshan Aara Sadique Ali,Indian Union Muslim League,1102,1,1103,0.1
9,Gaurav Damodar Surwade,Independent,979,6,985,0.09
10,Tawar Vijay Jagan,Independent,1140,1,1141,0.1
11,Nazmin Shaikh Ramjan,Independent,2580,1,2581,0.24
12,D. D. Wani [Photographer],Independent,4270,4,4274,0.39
13,NOTA,None of the Above,9188,28,9216,0.84
,Total, ,1088693,4278,1092971,
