SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Shankar (dada) Mane,Bahujan Samaj Party,5418,58,5476,0.46
2,Sanjaykaka Patil,Bharatiya Janata Party,503615,5380,508995,42.77
3,Anand Shankar Nalage (Patil),Baliraja Party,7192,21,7213,0.61
4,Gopichand Kundlik Padalkar,Vanchit Bahujan Aaghadi,297349,2885,300234,25.23
5,Dr. Rajendra Namdev Kavthekar,Bahujan Mukti Party,3572,14,3586,0.3
6,Vishal Prakashbapu Patil,Swabhimani Paksha,342016,2627,344643,28.96
7,Abhijit Wamanrao Awade Bichukle,Independent,2337,5,2342,0.2
8,Adhikrao Sampat Channe,Independent,1321,2,1323,0.11
9,Dattatray Pandit Patil,Independent,1274,2,1276,0.11
10,Narayan Chandar Mulik,Independent,2682,3,2685,0.23
11,Bhaktraj Raghunath Thigale,Independent,1864,6,1870,0.16
12,Himmat Pandurang Koli,Independent,3690,40,3730,0.31
13,NOTA,None of the Above,6493,92,6585,0.55
,Total, ,1178823,11135,1189958,
