SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANAND PRAKASH PARANJPE,Nationalist Congress Party,328088,736,328824,28.09
2,RAJAN BABURAO VICHARE,Shivsena,738618,2351,740969,63.3
3,RAJESHCHANNA BAIJNATH JAISWAR,Bahujan Samaj Party,9455,17,9472,0.81
4,AJAY BABURAM GUPTA,Bharat Jan Aadhar Party,1443,10,1453,0.12
5,USMAN MOOSA SHAIKH,Bahujan Maha Party,2097,1,2098,0.18
6,OMKAR NATH S. TIWARI,Hindusthan Nirman Dal,799,2,801,0.07
7,JADHAV PRABHAKAR ANANT,Bahujan Republican Socialist Party,685,1,686,0.06
8,JAIN SURENDRAKUMAR,Naitik Party,1396,2,1398,0.12
9,DILIP PRABHAKAR ALONI (JOSHI),Akhil Bharatiya Jan Sangh,849,1,850,0.07
10,BRAMHADEV RAMBAKSHI PANDE,Sarvodaya Bharat Party,867,0,867,0.07
11,MALLIKARJUN SAIBANNA PUJARI,Vanchit Bahujan Aaghadi,47260,172,47432,4.05
12,MADHAVILATA DINESHKUMAR MAURYA,Jan Adhikar Party,905,1,906,0.08
13,RAJESH SIDDHANNA KAMBLE,Bahujan Mukti Party,938,5,943,0.08
14,SUDHAKAR NARAYAN SHINDE,Ambedkarite Party of India,1036,2,1038,0.09
15,SUBHASHCHANDRA RATANDEO JHA,Sardar Vallabhbhai Patel Party,997,1,998,0.09
16,HEMANT KISAN PATIL,Sanatan Sanskriti Raksha Dal,2619,1,2620,0.22
17,Dr. AKSHAY ANANT ZODGE,Independent,1880,1,1881,0.16
18,OM PRAKASH PAL,Independent,1854,0,1854,0.16
19,DIGAMBAR YALAPPA BANSODE,Independent,801,1,802,0.07
20,POKHARKAR VINOD LAXMAN,Independent,766,6,772,0.07
21,RAMESH KUMAR THAKURPRASAD SHRIVASTAV,Independent,1704,1,1705,0.15
22,VITTHAL NATHA CHAVAN,Independent,534,1,535,0.05
23,SHUBHANGI VIDYASAGAR CHAVAN,Independent,1182,6,1188,0.1
24,NOTA,None of the Above,20365,61,20426,1.75
,Total, ,1167138,3380,1170518,
