SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Agrawal Shaileshkumar Premkishorji,Bahujan Samaj Party,36296,127,36423,3.4
2,Charulata Rao Tokas,Indian National Congress,389243,1930,391173,36.47
3,Ramdas Chandrabhanji Tadas,Bharatiya Janata Party,575488,2876,578364,53.92
4,Ganesh Kisanrao Lade,Ambedkarite Party of India,6115,9,6124,0.57
5,Gadhave Pravin Rameshwarrao,Ambedkarist Republican Party,3178,10,3188,0.3
6,Jagdish Uddhavrao Wankhade,Bahujan Mukti Party,1708,12,1720,0.16
7,Dhanraj Kothiramji Wanjari,Vanchit Bahujan Aaghadi,36149,303,36452,3.4
8,Pro. Dnyanesh Wakudkar,Lokjagar Party,1122,13,1135,0.11
9,Arvind Shamrao Lillore,Independent,752,2,754,0.07
10,Umesh Sadashivrao Neware,Independent,3006,11,3017,0.28
11,Zitruji Chandruji Borutkar,Independent,1316,2,1318,0.12
12,Nandkishor Ramaji Sagar(More),Independent,1640,3,1643,0.15
13,Balpande Rajesh Marotrao,Independent,2129,1,2130,0.2
14,Adv. Bhaskar Marotrao Neware,Independent,2614,5,2619,0.24
15,NOTA,None of the Above,6402,108,6510,0.61
,Total, ,1067158,5412,1072570,
