SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,OINAM NABAKISHORE SINGH,Indian National Congress,244972,905,245877,32.38
2,MOIRANGTHEM NARA SINGH,Communist Party of India,133093,720,133813,17.62
3,DR RAJKUMAR RANJAN SINGH,Bharatiya Janata Party,261802,1830,263632,34.72
4,R.K. ANAND,North East India Development Party,24938,72,25010,3.29
5,OINAM JUGINDRO SINGH,Manipur People’s Party,1755,28,1783,0.23
6,DR. G. TONSANA SHARMA,Manipur Democratic Peoples's Front,1245,11,1256,0.17
7,SENJAM NANDESHWORE SINGH,Rashtriya Janhit Sangharsh Party,739,8,747,0.1
8,MD. ILIYASH KHAN,Independent,468,24,492,0.06
9,M. TOTOMSHANA NONGSHABA,Independent,960,13,973,0.13
10,RAJKUMAR SOMENDRO SINGH (KAIKU),Independent,80566,1068,81634,10.75
11,WAHENGBAM PABITRA SINGH,Independent,1465,5,1470,0.19
12,NOTA,None of the Above,2570,44,2614,0.34
,Total, ,754573,4728,759301,
