SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JAI PRAKASH AGARWAL,Indian National Congress,290689,221,290910,29.67
2,PANKAJ KUMAR GUPTA,Aam Aadmi Party,144447,104,144551,14.74
3,SHAHID ALI,Bahujan Samaj Party,9013,13,9026,0.92
4,HARSH VARDHAN,Bharatiya Janata Party,517939,1116,519055,52.94
5,ANIL KUMAR,Rashtriya Rashtrawadi Party,1436,0,1436,0.15
6,ASHOK KUMAR,Republican Party of India (A),273,0,273,0.03
7,INDER SEN,Rashtriya Samrasta Party,216,0,216,0.02
8,MOHD. IRFAN JAVED QURESHI,Ekta Samaj Party,1270,0,1270,0.13
9,KAMAL KISHOR,Peoples Party of India (Democratic),331,1,332,0.03
10,DEEPTI CHOPRA,Prism,233,0,233,0.02
11,DHEER SINGH,Rashtriya Jansambhavna Party,249,0,249,0.03
12,RAVINDRA,Kanshiram Bahujan Dal,369,0,369,0.04
13,RICHA KATIYAR KANAUJIA,Right to Recall Party,474,1,475,0.05
14,VISHAL KHANNA,Sanatan Sanskriti Raksha Dal,485,0,485,0.05
15,VIRENDER PRATAP SINGH,Aapki Apni Party (Peoples),741,3,744,0.08
16,SHARESTHA ARORA,Mazdoor Kirayedar Vikas Party,1143,0,1143,0.12
17,SATDEV JAIN,"Proutist Bloc, India",1215,0,1215,0.12
18,SAMEER MIRZA,Bharat Prabhat Party,423,1,424,0.04
19,SUMAN DEVI,Bharat Lok Sewak Party,236,0,236,0.02
20,SOHAN LAL SHARMA,Rashtra Nirman Party,501,0,501,0.05
21,SAURABH RANJAN,Pyramid Party of India,243,0,243,0.02
22,JUGAL KISHOR,Independent,268,0,268,0.03
23,PANKAJ GUPTA,Independent,670,0,670,0.07
24,FARHA DEEBA,Independent,241,0,241,0.02
25,MUNNA LAL,Independent,393,0,393,0.04
26,RAVI KUMAR,Independent,299,0,299,0.03
27,NOTA,None of the Above,5124,9,5133,0.52
,Total, ,978921,1469,980390,
