SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJAY MAKAN,Indian National Congress,247429,273,247702,26.91
2,BRIJESH GOYAL,Aam Aadmi Party,150203,139,150342,16.33
3,MEENAKASHI LEKHI,Bharatiya Janata Party,503157,1049,504206,54.77
4,UPENDRA,Anjaan Aadmi Party,1280,1,1281,0.14
5,UMESH CHANDRA GAUR,Republican Party of India (A),284,1,285,0.03
6,JITENDRA RAUT,Akhil Bharatiya Manavata Paksha,404,1,405,0.04
7,NAVEEN KUMAR,Rashtriya Samrasta Party,257,0,257,0.03
8,NILANJAN BANERJEE,Bharat Lok Sewak Party,193,1,194,0.02
9,RAVINDER PAUL SEHGAL,Pyramid Party of India,323,0,323,0.04
10,RAJ KARAN,Corruption Abolition Party,275,0,275,0.03
11,RAJ SHEKHAR GUNTI,Prism,174,0,174,0.02
12,RAJESH SATIYA,Sanatan Sanskriti Raksha Dal,332,1,333,0.04
13,LAL JI,Akhand Rashtrawadi Party,307,0,307,0.03
14,VIRENDRA SINGH BHARAT,Rashtriya Rashtrawadi Party,530,0,530,0.06
15,K SREEKRISHNA,Jammu & Kashmir National Panthers Party,919,1,920,0.1
16,SUNIL,Aapki Apni Party (Peoples),1159,0,1159,0.13
17,SUNIL KUMAR,Peoples Party of India (Democratic),1272,0,1272,0.14
18,SWADESH KUMAR OHRI,Atulya Bharat Party,641,0,641,0.07
19,AJAY KUMAR LAL,Independent,639,0,639,0.07
20,AASHISH S SAXENA,Independent,198,0,198,0.02
21,KRIPASHANKAR C PANDEY,Independent,184,0,184,0.02
22,DILIP SINGH KOTHARI,Independent,255,0,255,0.03
23,PRIYANKA,Independent,289,0,289,0.03
24,RAMESH,Independent,200,0,200,0.02
25,SREE NIVASAN RAMAMOORTHY,Independent,237,1,238,0.03
26,SURESH KUMAR,Independent,721,0,721,0.08
27,HARKRISHAN DAS NIJHAWAN,Independent,609,1,610,0.07
28,NOTA,None of the Above,6585,16,6601,0.72
,Total, ,919056,1485,920541,
