SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,862058,3590,865648,60.05
2,BALBIR SINGH JAKHAR,Aam Aadmi Party,251504,369,251873,17.47
3,MAHABAL MISHRA,Indian National Congress,286745,417,287162,19.92
4,SITA SARAN SEN,Bahujan Samaj Party,13202,67,13269,0.92
5,KULWINDER SINGH MEHTA,Pyramid Party of India,542,0,542,0.04
6,JANAK RAJ RANA,Akhand Rashtrawadi Party,329,0,329,0.02
7,DAYA NAND VATS,Republican Party of India (A),379,0,379,0.03
8,DHARAMBIR SINGH,Rashtriya Janshakti Party (Secular),551,0,551,0.04
9,POONAM UJJAINWAL,Peoples Party of India (Democratic),928,7,935,0.06
10,PROBIR DUTTA,Satya Bahumat Party,328,1,329,0.02
11,BAIDYANATH SAH,"Proutist Bloc, India",467,0,467,0.03
12,MANMOHAN SINGH,Rashtra Nirman Party,444,0,444,0.03
13,VIKASH KUMAR MOHAL,Aapki Apni Party (Peoples),894,1,895,0.06
14,SHASHI JEET,National Youth Party,718,1,719,0.05
15,SHISH PAL SINGH,Prism,538,0,538,0.04
16,IQBAL SINGH (SONU),Independent,2181,5,2186,0.15
17,NAVIN CHANDRA DAS,Independent,1706,0,1706,0.12
18,PRAVESH SHARMA,Independent,1755,2,1757,0.12
19,BALBIR SINGH,Independent,1024,0,1024,0.07
20,M. MISHRA,Independent,652,0,652,0.05
21,RAMESH CHAND VERMA,Independent,312,0,312,0.02
22,RAJIV KUMAR,Independent,365,0,365,0.03
23,HARSH VARDHAN SHUKLA,Independent,582,0,582,0.04
24,NOTA,None of the Above,8883,54,8937,0.62
,Total, ,1437087,4514,1441601,
