SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anita Subhadarshini,Bharatiya Janata Party,346249,1793,348042,34.33
2,Purna Chandra Nayak,Bahujan Samaj Party,8527,22,8549,0.84
3,Pramila Bisoyi,Biju Janata Dal,552364,385,552749,54.52
4,Rama Krushna Panda,Communist Party of India,59889,89,59978,5.92
5,Rajeeb Chandra Khadanga,All India Forward Bloc,5984,3,5987,0.59
6,Sankar Sahu,Communist Party of India (Marxist-Leninist) Red Star,5995,4,5999,0.59
7,Chakradhar Sahu,Independent,7733,5,7738,0.76
8,K. Shyambabu Subudhi,Independent,7470,6,7476,0.74
9,NOTA,None of the Above,17330,14,17344,1.71
,Total, ,1011541,2321,1013862,
