SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NAVAJYOTI PATNAIK,Indian National Congress,179070,333,179403,15.49
2,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,481438,2420,483858,41.79
3,RABINDRA KUMAR JENA,Biju Janata Dal,470242,660,470902,40.67
4,HAJI SK ABDUL ISTAR,All India Trinamool Congress,3898,2,3900,0.34
5,MOHAMMED ALLI,Ambedkar National Congress,1349,7,1356,0.12
6,RAMAKANTA PANDA,Purvanchal Janta Party (Secular),1241,0,1241,0.11
7,SUBHASH,Pragatishil Samajwadi Party (Lohia),823,2,825,0.07
8,JAGANNATH DAS,Independent,813,3,816,0.07
9,BASANTALATA PATTANAYAK,Independent,1419,3,1422,0.12
10,JADUNATH SETHI,Independent,1675,1,1676,0.14
11,RAMANATH BARIK,Independent,2451,3,2454,0.21
12,SAROJ KUMAR PANDA,Independent,2580,2,2582,0.22
13,NOTA,None of the Above,7422,14,7436,0.64
,Total, ,1154421,3450,1157871,
