SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V.CHANDRASEKHAR NAIDU,Indian National Congress,142372,260,142632,14.41
2,CHANDRA SEKHAR SAHU,Biju Janata Dal,443145,698,443843,44.84
3,TIRUPATHI RAO KARANAM,Bahujan Samaj Party,8252,38,8290,0.84
4,BHRUGU BAXIPATRA,Bharatiya Janata Party,347302,1697,348999,35.26
5,SRIHARI PATNAIK,Odisha Pragati Dal,8293,11,8304,0.84
6,SOMANATH BEHERA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8283,13,8296,0.84
7,CHAKRADHAR SAHU,Independent,7076,5,7081,0.72
8,K. SHYAMBABU SUBUDHI,Independent,8077,7,8084,0.82
9,NOTA,None of the Above,14363,18,14381,1.45
,Total, ,987163,2747,989910,
