SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PANCHANAN KANUNGO,Indian National Congress,99742,105,99847,9.42
2,PRAKASH MISHRA,Bharatiya Janata Party,401959,1432,403391,38.07
3,PRAMOD KUMAR MALLICK,Bahujan Samaj Party,4395,13,4408,0.42
4,BHARTRUHARI MAHTAB,Biju Janata Dal,524117,475,524592,49.51
5,AKSHAYA KUMAR KAR,Krupaa Party,3822,1,3823,0.36
6,BISWAJIT GOSWAMI,Kalinga Sena,1358,0,1358,0.13
7,RAJAKISHORE MALLIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2754,2,2756,0.26
8,SOMIYA RANJAN DAS,Bharat Prabhat Party,1404,5,1409,0.13
9,ASHOK PRADHAN,Independent,1355,2,1357,0.13
10,BRUNDABAN DAS AZAD,Independent,3414,0,3414,0.32
11,SANJAYA KUMAR SAHOO,Independent,5897,2,5899,0.56
12,NOTA,None of the Above,7227,9,7236,0.68
,Total, ,1057444,2046,1059490,
