SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJA KAMAKHYA PRASAD SINGH DEO,Indian National Congress,79987,362,80349,7.1
2,PRADYUMNA KUMAR NAIK,Bahujan Samaj Party,7741,48,7789,0.69
3,MAHESH SAHOO,Biju Janata Dal,521954,930,522884,46.21
4,RUDRA NARAYAN PANY,Bharatiya Janata Party,483978,3494,487472,43.08
5,PRIYABRATA GARNAIK,Hindusthan Nirman Dal,6940,6,6946,0.61
6,BIJAYA KUMAR BEHERA,Ambedkarite Party of India,4736,6,4742,0.42
7,MANASI SWAIN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3285,10,3295,0.29
8,RANJAN KUMAR SAHOO,Bhartiya Manavadhikaar Federal Party,2913,1,2914,0.26
9,SAROJ KUMAR SATPATHY,Samata Kranti Dal,3874,3,3877,0.34
10,NOTA,None of the Above,11242,12,11254,0.99
,Total, ,1126650,4872,1131522,
