SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRATIMA MALLICK,Indian National Congress,239114,570,239684,19.5
2,BIBHU PRASAD TARAI,Bharatiya Janata Party,346398,1932,348330,28.34
3,BIBHUTI BHUSAN MAJHI,Bahujan Samaj Party,5226,18,5244,0.43
4,RAJASHREE MALLICK,Biju Janata Dal,618955,1030,619985,50.44
5,ANIL KUMAR BEHERA,Freethought Party of India,3585,1,3586,0.29
6,JAGANNATH MEGH,Jai Prakash Janata Dal,1237,0,1237,0.1
7,DIPAK KUMAR DAS,Akhil Bharat Hindu Mahasabha,1503,0,1503,0.12
8,PEEYUUSH DAS,Ambedkarite Party of India,1751,0,1751,0.14
9,SASMITA DAS,Independent,1804,9,1813,0.15
10,NOTA,None of the Above,6042,15,6057,0.49
,Total, ,1225615,3575,1229190,
