SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMIYA KANTA MALLICK,Bharatiya Janata Party,438171,4156,442327,40.5
2,MANAS JENA,Indian National Congress,82834,487,83321,7.63
3,SARMISTHA SETHI,Biju Janata Dal,542476,1544,544020,49.81
4,TILOTTAMA SETHY,"Proutist Bloc, India",4467,3,4470,0.41
5,BHIMA SEN BEHERA,Freethought Party of India,1794,7,1801,0.16
6,RANJIT MALIK,Bahujan Mukti Party,2041,8,2049,0.19
7,SUNAKAR BEHERA,Jai Prakash Janata Dal,1982,3,1985,0.18
8,SUBASA CHANDRA MALIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4934,16,4950,0.45
9,NOTA,None of the Above,7149,12,7161,0.66
,Total, ,1085848,6236,1092084,
