SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ananta Nayak,Bharatiya Janata Party,458064,2092,460156,39.12
2,Chandrani Murmu,Biju Janata Dal,525886,473,526359,44.75
3,Durga Chandra Pingua,Bahujan Samaj Party,9296,12,9308,0.79
4,Mohan Kumar Hembram,Indian National Congress,128542,174,128716,10.94
5,Prafulla Nayak,All India Forward Bloc,5864,2,5866,0.5
6,Ramesh Laguri,Bahujan Mukti Party,5723,5,5728,0.49
7,Dr. Sudarshan Lohar,Rashtriya Indepndent Morcha,10911,3,10914,0.93
8,Lalmohan Hansda,Akhil Bharat Hindu Mahasabha,10036,2,10038,0.85
9,NOTA,None of the Above,19204,3,19207,1.63
,Total, ,1173526,2766,1176292,
