SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NALINI KANTA PRADHAN,Biju Janata Dal,464063,545,464608,41.32
2,NITESH GANGA DEB,Bharatiya Janata Party,471382,2388,473770,42.13
3,MD. MUSTUKIM,Bahujan Samaj Party,8157,20,8177,0.73
4,SARAT PATTANAYAK,Indian National Congress,135672,297,135969,12.09
5,Atma Ram Supkar,Pragatishil Samajwadi Party (Lohia),3787,4,3791,0.34
6,ASHUTOSH KUMAR HANUMAN,Bharat Prabhat Party,2053,5,2058,0.18
7,NABAKISHORE PRADHAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2709,6,2715,0.24
8,PRABHAT KUMAR DHARUA,Gondvana Gantantra Party,2694,5,2699,0.24
9,BINAY OCEAN,Ambedkarite Party of India,6579,2,6581,0.59
10,SANTOSHINI KARNA,Ambedkar National Congress,5193,4,5197,0.46
11,KANHU CHARAN SANBAD,Independent,5432,2,5434,0.48
12,NOTA,None of the Above,13443,13,13456,1.2
,Total, ,1121164,3291,1124455,
