SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,George Tirkey,Indian National Congress,267672,546,268218,24.38
2,Jual Oram,Bharatiya Janata Party,498468,1588,500056,45.45
3,Sunita Biswal,Biju Janata Dal,276710,281,276991,25.18
4,Justin Lugun,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9516,8,9524,0.87
5,Dayananda Bhitria,Hindusthan Nirman Dal,4027,0,4027,0.37
6,Basil Ekka,Aam Aadmi Party,6605,9,6614,0.6
7,Udit Chandra Amat,Independent,6230,4,6234,0.57
8,Miss Juspin Lakra,Independent,14779,11,14790,1.34
9,NOTA,None of the Above,13665,10,13675,1.24
,Total, ,1097672,2457,1100129,
