SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. NARAYANASAMY KESAVAN,All India N.R. Congress,247844,112,247956,31.36
2,A.G.PATHIMARAJ,Bahujan Samaj Party,2685,4,2689,0.34
3,Ve. VAITHILINGAM,Indian National Congress,444646,335,444981,56.27
4,K.ARUNACHALAM,Agila India Makkal Kazhagam,2199,2,2201,0.28
5,Dr.M.A.S. SUBRAMANIAN,Makkal Needhi Maiam,38046,22,38068,4.81
6,S. THIRUGNANAM,Anti Corruption Dynamic Party,673,1,674,0.09
7,BASKARAN.S,Puducherry Development Party,1318,1,1319,0.17
8,MUTHU.U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1285,0,1285,0.16
9,S.MOTHILAL,Communist Party of India (Marxist-Leninist) (Liberation),904,1,905,0.11
10,N.SHARMILA BEGUM,Naam Tamilar Katchi,22842,15,22857,2.89
11,K. RAMADOSS,Independent,542,1,543,0.07
12,KRISHNAMURTHY.M,Independent,3579,0,3579,0.45
13,THANGAVELU.S,Independent,1002,0,1002,0.13
14,N. TAMIZH MARANE,Independent,4785,6,4791,0.61
15,TIRAVITAMANKAI@LOURDHUMARY,Independent,870,0,870,0.11
16,IMS. BALAJI,Independent,2546,0,2546,0.32
17,RAMESH.D,Independent,1653,0,1653,0.21
18,V. RAMAMURTHI,Independent,641,1,642,0.08
19,NOTA,None of the Above,12192,7,12199,1.54
,Total, ,790252,508,790760,
