SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Sodhi Vikram Singh,Bahujan Samaj Party,146077,364,146441,13.54
2,Narinder Singh Shergill,Aam Aadmi Party,52539,513,53052,4.9
3,Professor Prem Singh Chandumajra,Shiromani Akali Dal,379552,1609,381161,35.24
4,Manish Tewari,Indian National Congress,426904,1141,428045,39.57
5,Raghunath Singh,Communist Party of India (Marxist),10638,27,10665,0.99
6,Ashwani Kumar,Hindustan Shakti Sena,1707,25,1732,0.16
7,Dr. Sukhdeep Kaur,Janral Samaj Party,942,86,1028,0.1
8,Surinder Kaur Mangat,Rashtriya Janshakti Party (Secular),1097,9,1106,0.1
9,Harmesh Sharma,Jai Jawan Jai Kisan Party,910,21,931,0.09
10,Kawaljeet Singh,Hind Congress Party,866,36,902,0.08
11,Kulwinder Kaur,Ambedkarite Party of India,1911,18,1929,0.18
12,Gurbinder Singh Sonu,Peoples Party of India (Democratic),1516,6,1522,0.14
13,Jodh Singh Thandi,Bhartiya Lok Seva Dal,2904,17,2921,0.27
14,Faqir Chand,Shivsena,2397,68,2465,0.23
15,Bir Devinder Singh,Shiromani Akali Dal (Taksali),10315,109,10424,0.96
16,Bargava Reddy D,Pyramid Party of India,2820,4,2824,0.26
17,Avtar Singh,Independent,3637,9,3646,0.34
18,Ashish Garg,Independent,2782,2,2784,0.26
19,Sunaina,Independent,1882,30,1912,0.18
20,Kirpal Kaur,Independent,2141,30,2171,0.2
21,Charan Dass,Independent,958,2,960,0.09
22,Jagneet Singh Balsuan,Independent,1114,3,1117,0.1
23,Dr. Paramjeet Singh Ranu,Independent,1313,3,1316,0.12
24,Manmohan Singh,Independent,1381,1,1382,0.13
25,Rakesh Kumar,Independent,1008,3,1011,0.09
26,Vikram Singh John,Independent,1141,4,1145,0.11
27,NOTA,None of the Above,17069,66,17135,1.58
,Total, ,1077521,4206,1081727,
