SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Amrinder Singh Raja Warring,Indian National Congress,469412,1640,471052,39.23
2,Harsimrat Kaur Badal,Shiromani Akali Dal,490811,2013,492824,41.04
3,Prof. Baljinder Kaur,Aam Aadmi Party,133728,670,134398,11.19
4,Swarn Singh Dhaliwal,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5082,24,5106,0.43
5,Sukhchain Singh Bhargav,Hindustan Shakti Sena,1777,17,1794,0.15
6,Sukhpal Singh Khaira,Punjab Ekta Party,37854,345,38199,3.18
7,Gursewak Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),3777,43,3820,0.32
8,Gurmeet Singh Insa,Punjab Labour Party,678,14,692,0.06
9,Dr. Jagsir Singh Mrar,Bahujan Mukti Party,1047,19,1066,0.09
10,Rtd. Subedar Major Jagdev Singh Raipur,Bhartiya Lok Seva Dal,1737,28,1765,0.15
11,Baljinder Kumar Sangila,Socialist Party (India),1394,12,1406,0.12
12,Bhagwant Singh Samaon,Communist Party of India (Marxist-Leninist) (Liberation),5372,9,5381,0.45
13,Bhupinder Singh Bhainda Waring,Samaj Adhikar Kalyan Party,1298,4,1302,0.11
14,Amrik Singh,Independent,1664,12,1676,0.14
15,Sandeep Kumar,Independent,2726,5,2731,0.23
16,Surjeet Singh,Independent,5869,3,5872,0.49
17,Harpal Singh,Independent,4626,1,4627,0.39
18,Kartar Singh,Independent,2978,0,2978,0.25
19,Gurcharan Singh,Independent,1484,1,1485,0.12
20,Gurmail Singh,Independent,800,4,804,0.07
21,Teja Singh,Independent,1446,2,1448,0.12
22,Nahar Singh,Independent,956,4,960,0.08
23,Bhola Singh Sahota,Independent,882,2,884,0.07
24,Manjit Kaur,Independent,1067,5,1072,0.09
25,Ranveer Singh Rana,Independent,911,2,913,0.08
26,Prof. Lakhbir Singh,Independent,1145,9,1154,0.1
27,Veerpal Kaur,Independent,2069,9,2078,0.17
28,NOTA,None of the Above,13220,103,13323,1.11
,Total, ,1195810,5000,1200810,
