SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Prof. Sadhu Singh,Aam Aadmi Party,114610,709,115319,11.83
2,Gulzar Singh Ranike,Shiromani Akali Dal,334674,1135,335809,34.44
3,Dr. Daljit Singh Chauhan,Nationalist Congress Party,3407,178,3585,0.37
4,Mohammad Sadique,Indian National Congress,417936,1129,419065,42.98
5,Om Parkash,Bhartiya Janraj Party,2757,278,3035,0.31
6,Ajay Kumar,Indian Democratic Republican Front,6094,12,6106,0.63
7,Amandeep Kaur,Peoples Party of India (Democratic),1231,59,1290,0.13
8,Dr. Swarn Singh,Apna Samaj Party,3663,15,3678,0.38
9,Sukhdev Singh,Hindustan Shakti Sena,1780,5,1785,0.18
10,Chanan Singh Wattu,Bahujan Mukti Party,1296,17,1313,0.13
11,Parminder Singh,Bharat Prabhat Party,799,11,810,0.08
12,Master Baldev Singh,Punjab Ekta Party,43794,138,43932,4.51
13,Bhola Singh,Bhartiya Lok Seva Dal,3455,7,3462,0.36
14,Rajinder Kaur Safri,Rashtriya Janshakti Party (Secular),2128,10,2138,0.22
15,Veerpal Kaur,Samaj Adhikar Kalyan Party,1765,20,1785,0.18
16,Jaswinder Singh,Independent,4909,3,4912,0.5
17,Jagmeet Singh,Independent,2089,2,2091,0.21
18,Darshan Singh,Independent,2052,2,2054,0.21
19,Nanak Singh Chauhan,Independent,1404,11,1415,0.15
20,Badal Singh,Independent,2113,4,2117,0.22
21,NOTA,None of the Above,19053,193,19246,1.97
,Total, ,971009,3938,974947,
