SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUKHBIR SINGH BADAL,Shiromani Akali Dal,631100,2327,633427,54.05
2,SHER SINGH GHUBAYA,Indian National Congress,432964,1613,434577,37.08
3,HANS RAJ GOLDEN,Communist Party of India,25967,161,26128,2.23
4,HARJINDER SINGH KAKA SRAN,Aam Aadmi Party,31240,632,31872,2.72
5,SUNNY BAWA,Akhil Bhartiya Apna Dal,1056,16,1072,0.09
6,SUKHJIT SINGH,Bhartiya Lok Seva Dal,1580,46,1626,0.14
7,HARMANDER SINGH,Samaj Adhikar Kalyan Party,518,5,523,0.04
8,NARESH KUMAR,Hindustan Shakti Sena,1758,3,1761,0.15
9,BALWANT SINGH KHALSA,Janral Samaj Party,1185,9,1194,0.1
10,MADAN LAL,Republican Party of India (Reformist),947,5,952,0.08
11,SATNAM SINGH SON OF GURDEEP SINGH,Independent,747,3,750,0.06
12,SATNAM SINGH SON OF BALWANT SINGH,Independent,900,9,909,0.08
13,SUSHIL KUMAR,Independent,817,7,824,0.07
14,SURJIT SINGH,Independent,1032,2,1034,0.09
15,KASHMIR SINGH,Independent,2386,1,2387,0.2
16,KULDEEP SINGH,Independent,5088,4,5092,0.43
17,JATINDER SINGH THIND,Independent,6791,13,6804,0.58
18,PARWINDER SINGH,Independent,2404,0,2404,0.21
19,PALA SINGH,Independent,963,1,964,0.08
20,BALKAR SINGH,Independent,1411,0,1411,0.12
21,BUTA RAM GULATI,Independent,697,3,700,0.06
22,MANOJ KUMAR,Independent,730,1,731,0.06
23,NOTA,None of the Above,14436,455,14891,1.27
,Total, ,1166717,5316,1172033,
