SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUNNY DEOL,Bharatiya Janata Party,551177,7542,558719,50.61
2,SUNIL JAKHAR,Indian National Congress,474168,2092,476260,43.14
3,PETER MASIH,Aam Aadmi Party,27401,343,27744,2.51
4,ASHWANI KUMAR HAPPY,Communist Party of India (Marxist-Leninist) (Liberation),2422,47,2469,0.22
5,JASBIR SINGH,Bahujan Samaj Party (Ambedkar),714,87,801,0.07
6,PRITAM SINGH BHATTI,Janral Samaj Party,1173,68,1241,0.11
7,MANGAL SINGH,Democratic Party of India,463,36,499,0.05
8,YASH PAUL,Bahujan Mukti Party,643,23,666,0.06
9,LAL CHAND KATARU CHAK,Revolutionary Marxist Party of India,15210,64,15274,1.38
10,AMANDEEP SINGH GHOTRA,Independent,880,8,888,0.08
11,SUKRIT SHARDA,Independent,1795,6,1801,0.16
12,HARPREET SINGH,Independent,772,28,800,0.07
13,KARAM SINGH,Independent,1053,12,1065,0.1
14,KASIM DEEN,Independent,3130,6,3136,0.28
15,PARAMPREET SINGH,Independent,2953,11,2964,0.27
16,NOTA,None of the Above,9474,86,9560,0.87
,Total, ,1093428,10459,1103887,
