SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Santokh Singh Chaudhary,Indian National Congress,385449,263,385712,37.85
2,Charanjit Singh Atwal,Shiromani Akali Dal,365934,287,366221,35.94
3,Justice (Retd.) Jora Singh,Aam Aadmi Party,25382,85,25467,2.5
4,Balwinder Kumar,Bahujan Samaj Party,204712,71,204783,20.1
5,Urmilla,Ambedkar National Congress,1330,10,1340,0.13
6,Subhash Goria,Shivsena,2443,27,2470,0.24
7,Hari Mitter,Peoples Party of India (Democratic),1188,3,1191,0.12
8,Gurupal Singh,Bharat Prabhat Party,492,8,500,0.05
9,Jagan Nath Bajwa,Hum Bhartiya Party,1428,2,1430,0.14
10,Tara Singh Gill,Bahujan Samaj Party (Ambedkar),2458,5,2463,0.24
11,Parkash Chand Jassal,Republican Party of India (A),683,1,684,0.07
12,Baljinder Sodhi,Nationalist Justice Party,845,0,845,0.08
13,Ramesh Lal Kala,Bahujan Mukti Party,921,0,921,0.09
14,Opkar Singh Bakhshi,Independent,1087,1,1088,0.11
15,Amrish Kumar,Independent,1591,0,1591,0.16
16,Sukhdev Singh,Independent,3154,0,3154,0.31
17,Kashmir Singh Ghugshore,Independent,4099,1,4100,0.4
18,Valmikacharaya Nitya Anand,Independent,1856,2,1858,0.18
19,Neetu Shutteran Wala,Independent,856,0,856,0.08
20,NOTA,None of the Above,12301,23,12324,1.21
,Total, ,1018209,789,1018998,
