SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BABA SUKHWINDER SINGH GILL,Nationalist Congress Party,1992,112,2104,0.2
2,PROF. TEJ PAL SINGH GILL,Aam Aadmi Party,15794,151,15945,1.52
3,MAHESHINDER SINGH GREWAL,Shiromani Akali Dal,298963,472,299435,28.6
4,RAVNEET SINGH BITTU,Indian National Congress,383284,511,383795,36.66
5,BABA AMARJIT SINGH KHALSA,Bhartiya Lok Seva Dal,3171,40,3211,0.31
6,SIMARJEET SINGH BAINS,Lok Insaaf Party,306786,637,307423,29.36
7,DARSHAN SINGH DABA,Jai Jawan Jai Kisan Party,1335,11,1346,0.13
8,DALJIT SINGH,People's Party of India(secular),1593,4,1597,0.15
9,DEVINDER BHAGRIA,Hindustan Shakti Sena,3593,1,3594,0.34
10,DILDAR SINGH,Ambedkarite Party of India,1244,10,1254,0.12
11,PARDEEP BAWA,Samaj Adhikar Kalyan Party,1158,0,1158,0.11
12,DR. BRIJESH KUMAR BANGAR,Peoples Party of India (Democratic),1169,6,1175,0.11
13,BALJIT SINGH,Bharat Prabhat Party,1633,7,1640,0.16
14,Er. BALDEV RAJ KATNA,Nationalist Justice Party,1326,2,1328,0.13
15,BINTU KUMAR TAANK ( B.K. TAANK),Ambedkar National Congress,1057,3,1060,0.1
16,MOHD. NASEEM ANSARI,Rashtriya Sahara Party,1867,4,1871,0.18
17,RAJINDER GHAI,Hindu Samaj Party,1010,4,1014,0.1
18,VAID RAM SINGH DEAPAK,Bahujan Mukti Party,948,4,952,0.09
19,JASDEEP SINGH SODHI,Independent,1533,2,1535,0.15
20,JAI PARKASH JAIN (TITU BANIYA),Independent,2723,3,2726,0.26
21,MOHINDER SINGH,Independent,894,1,895,0.09
22,RAVINDER PAL SINGH (BABA JI BURGER WALE),Independent,1357,2,1359,0.13
23,NOTA,None of the Above,10458,80,10538,1.01
,Total, ,1044888,2067,1046955,
