SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Imran Khan,Bahujan Samaj Party,56399,250,56649,4.48
2,Bhanwar Jitendra Singh,Indian National Congress,426794,3436,430230,33.99
3,Balak Nath,Bharatiya Janata Party,750580,9621,760201,60.06
4,Anoop Kumar Meghwal,Pragatishil Samajwadi Party (Lohia),3426,18,3444,0.27
5,Amit Jangir,Ambedkarite Party of India,1591,10,1601,0.13
6,Gulab Singh,Poorvanchal Rashtriya Congress,624,2,626,0.05
7,Advocate Amit Kumar Gupta,Independent,795,13,808,0.06
8,Anand Kumar Sain,Independent,1298,5,1303,0.1
9,Tilak Raj Munjal,Independent,896,7,903,0.07
10,Pawan Kumar Jain,Independent,2533,0,2533,0.2
11,Madan Lal,Independent,1986,5,1991,0.16
12,NOTA,None of the Above,5331,54,5385,0.43
,Total, ,1252253,13421,1265674,
