SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABHIJEET KUMAR JATAV,Indian National Congress,387863,1730,389593,33.97
2,RANJEETA KOLI,Bharatiya Janata Party,701293,6699,707992,61.74
3,SURAJ PRADHAN JATAV,Bahujan Samaj Party,31497,118,31615,2.76
4,MANGAL RAM GODRA,Ambedkarite Party of India,5712,3,5715,0.5
5,GHANSHYAM SINGH YADAV,Independent,1004,9,1013,0.09
6,TEJVEER SINGH,Independent,1093,5,1098,0.1
7,PURUSHOTTAM BABA,Independent,1891,6,1897,0.17
8,SUNIL,Independent,2232,4,2236,0.19
9,NOTA,None of the Above,5583,55,5638,0.49
,Total, ,1138168,8629,1146797,
