SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN RAM MEGHWAL,Bharatiya Janata Party,655427,2316,657743,59.82
2,BHAIRA RAM,Bahujan Samaj Party,11357,55,11412,1.04
3,MADAN GOPAL MEGHWAL,Indian National Congress,392268,1394,393662,35.8
4,SHYOPAT RAM,Communist Party of India (Marxist),8971,26,8997,0.82
5,GHANSHYAM MEGHWAL,Ambedkarite Party of India,3739,13,3752,0.34
6,TRILOKI NARAYAN HATILA,Jan Sangharsh Virat Party,1769,5,1774,0.16
7,PUNAM CHAND ALIAS PUNEET DHAL,Hindusthan Nirman Dal,1743,2,1745,0.16
8,ARJUN RAM,Independent,3445,2,3447,0.31
9,BABULAL,Independent,3553,3,3556,0.32
10,NOTA,None of the Above,13426,84,13510,1.23
,Total, ,1095698,3900,1099598,
