SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Gopal Singh Shekhawat,Indian National Congress,405681,1014,406695,27.88
2,Chandra Prakash Joshi,Bharatiya Janata Party,979946,2996,982942,67.38
3,Dr. Jagdish Chandra Sharma,Bahujan Samaj Party,13458,26,13484,0.92
4,Radha Bhandari,Communist Party of India,9923,1,9924,0.68
5,Gopal Dhakad,Right to Recall Party,2791,2,2793,0.19
6,Jai Prakash Regar,Ambedkarite Party of India,4218,15,4233,0.29
7,Prakash Chandra Meena,Bhartiya Tribal Party,5393,198,5591,0.38
8,Mangilal Meena,Satya Bahumat Party,2314,2,2316,0.16
9,Gulab Sehlot,Independent,4225,0,4225,0.29
10,Shamshuddin,Independent,9027,2,9029,0.62
11,NOTA,None of the Above,17513,15,17528,1.2
,Total, ,1454489,4271,1458760,
