SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BALWAN POONIA,Communist Party of India (Marxist),24892,198,25090,1.89
2,RAFIQUE MANDELIA,Indian National Congress,457117,1480,458597,34.52
3,RAHUL KASWAN,Bharatiya Janata Party,786573,6426,792999,59.69
4,HARI SINGH,Bahujan Samaj Party,16059,57,16116,1.21
5,GOMATI DHARAMPAL KATARIA,Bharat Rakshak Party (Democratic),1619,2,1621,0.12
6,SATYAPAL BAUDDH,Ambedkarite Party of India,3077,3,3080,0.23
7,ASLAM,Independent,1427,0,1427,0.11
8,KUMBHA RAM MEENA,Independent,3503,4,3507,0.26
9,DARARAM NAYAK,Independent,1570,3,1573,0.12
10,BISHANARAM,Independent,3325,1,3326,0.25
11,SHEELA SHEKHAWAT,Independent,6481,45,6526,0.49
12,SUKHADEV MEGHWAL,Independent,4575,7,4582,0.34
13,NOTA,None of the Above,9933,45,9978,0.75
,Total, ,1320151,8271,1328422,
