SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Jaskaur Meena,Bharatiya Janata Party,545481,3252,548733,51.63
2,Dwarka Prasad Maheshwara,Bahujan Samaj Party,13363,51,13414,1.26
3,Savita Meena,Indian National Congress,467458,2831,470289,44.25
4,Chandra Prakash Meena,Nationalist People's Front,5796,2,5798,0.55
5,Ramphool Meena,Ambedkarite Party of India,4990,9,4999,0.47
6,Rinku Kumar Meena,Peoples Party of India (Democratic),930,1,931,0.09
7,Anju Dhanka,Independent,2413,13,2426,0.23
8,Bimla Devi Meena,Independent,1190,0,1190,0.11
9,Bharti Meena,Independent,2027,7,2034,0.19
10,Maliram Nayaka,Independent,3002,0,3002,0.28
11,Radhey Shyam Meena,Independent,2624,0,2624,0.25
12,NOTA,None of the Above,7373,21,7394,0.7
,Total, ,1056647,6187,1062834,
