SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NIHAL CHAND,Bharatiya Janata Party,892744,4433,897177,61.8
2,BHARAT RAM MEGHWAL,Indian National Congress,487597,2602,490199,33.77
3,RAVTARAM,Communist Party of India,18293,16,18309,1.26
4,LUNARAMA,Bahujan Samaj Party,11497,82,11579,0.8
5,TITARA SINGH,Independent,2696,30,2726,0.19
6,NARESH KUMAR,Independent,1815,5,1820,0.13
7,DR. BALKRISHAN PANWAR,Independent,6823,55,6878,0.47
8,BHAJAN SINGH GHAROO,Independent,3398,16,3414,0.24
9,SATISH KUMAR,Independent,4111,9,4120,0.28
10,NOTA,None of the Above,15420,123,15543,1.07
,Total, ,1444394,7371,1451765,
