SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNA POONIA,Indian National Congress,422223,4738,426961,33.44
2,COL. RAJYAVARDHAN RATHORE,Bharatiya Janata Party,811626,8506,820132,64.24
3,VIRENDER SINGH BIDHURI,Bahujan Samaj Party,7913,63,7976,0.62
4,RAJENDRA KUMAR,Ambedkarite Party of India,3788,12,3800,0.3
5,RAM NIWAS NENAWAT MEGHAWAL,Bharat Rakshak Party (Democratic),1243,16,1259,0.1
6,BANWARI LAL MEENA,Independent,1221,13,1234,0.1
7,RAMSINGH KASANA,Independent,1826,8,1834,0.14
8,VINOD SHARMA,Independent,4143,3,4146,0.32
9,NOTA,None of the Above,9313,38,9351,0.73
,Total, ,1263296,13397,1276693,
