SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Gajendra Singh Shekhawat,Bharatiya Janata Party,781166,7722,788888,58.6
2,Mukul Chaudhary,Bahujan Samaj Party,11646,57,11703,0.87
3,Vaibhav Gehlot,Indian National Congress,511052,3396,514448,38.21
4,Amar Singh Kalundha,Bhartiya Tribal Party,7235,28,7263,0.54
5,Anil Joya Meghwal,Independent,1322,5,1327,0.1
6,Chand Mohammad,Independent,900,1,901,0.07
7,Tasleem,Independent,929,4,933,0.07
8,Moda Ram Meghwal,Independent,1516,3,1519,0.11
9,Vishek Vishnoi,Independent,4514,7,4521,0.34
10,Shambhu Ram,Independent,3051,1,3052,0.23
11,NOTA,None of the Above,11654,34,11688,0.87
,Total, ,1334985,11258,1346243,
