SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,OM BIRLA,Bharatiya Janata Party,796071,3980,800051,58.52
2,RAMNARAIN MEENA,Indian National Congress,517559,2815,520374,38.07
3,HARISH KUMAR LAHRI,Bahujan Samaj Party,9965,20,9985,0.73
4,CHANDRA PRAKASH,Rashtriya Krantikari Samajwadi Party,1487,1,1488,0.11
5,BHIM SINGH KUNTAL,Shivsena,1305,3,1308,0.1
6,MAHESH KUMAR RANIWAL,AARAKSHAN VIRODHI PARTY,887,4,891,0.07
7,RAJENDRA PRASAD SINGOR,Marxist Communist Party of India (United),1161,0,1161,0.08
8,SHOBHA RAM NIRMAL,Proutist Sarva Samaj,996,0,996,0.07
9,CAPTAIN SOMESH BHATNAGAR,Bhartiya Kisan Party,1148,6,1154,0.08
10,ABDUL ASIPH,Independent,1243,8,1251,0.09
11,KESHARI LAL,Independent,1675,3,1678,0.12
12,ENGINEER PRAVEEN KHANDELWAL,Independent,4096,1,4097,0.3
13,SATISH BHARDWAJ,Independent,2462,2,2464,0.18
14,SUNIL MADAN,Independent,3035,1,3036,0.22
15,HERGOVIND MEENA,Independent,4511,0,4511,0.33
16,NOTA,None of the Above,12531,58,12589,0.92
,Total, ,1360132,6902,1367034,
