SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Chenaram,Bahujan Samaj Party,15916,39,15955,1.29
2,Diya Kumari,Bharatiya Janata Party,858690,4349,863039,69.61
3,Devkinandan (Kaka),Indian National Congress,309748,1375,311123,25.09
4,Chandra Prakash Tanwar,Ambedkarite Party of India,12885,2,12887,1.04
5,Mishri Kathat,Indian Peoples Green Party,2354,17,2371,0.19
6,Jitendra Kumar Khatik,Independent,1548,1,1549,0.12
7,Neeru Ram Kapri,Independent,1547,3,1550,0.13
8,Bhanwar Lal Kumawat,Independent,2437,1,2438,0.2
9,Bhanwer Lal Mali,Independent,5920,3,5923,0.48
10,Rakesh Samdolav,Independent,10331,8,10339,0.83
11,NOTA,None of the Above,12641,30,12671,1.02
,Total, ,1234017,5828,1239845,
