SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Amraram,Communist Party of India (Marxist),31219,243,31462,2.37
2,Sita Devi,Bahujan Samaj Party,6654,177,6831,0.51
3,Subhash Maharia,Indian National Congress,470673,4275,474948,35.79
4,Sumedhanand Saraswati,Bharatiya Janata Party,761332,10772,772104,58.19
5,Vijendra Kumar,Bhartiya Jan Satta Party,12366,50,12416,0.94
6,Shivbhagwan Sardiwal,Dalit Soshit Pichhara Varg Adhikar Dal,1859,3,1862,0.14
7,Ajaypal,Independent,3344,11,3355,0.25
8,Ankur Sharma,Independent,804,1,805,0.06
9,Bansilal Kataria,Independent,1458,4,1462,0.11
10,Bhagwan Sahay,Independent,3550,5,3555,0.27
11,Bhagirath Singh Kharrte Bhadhadar,Independent,8027,7,8034,0.61
12,Vikas Kumar,Independent,2309,10,2319,0.17
13,NOTA,None of the Above,7754,62,7816,0.59
,Total, ,1311349,15620,1326969,
