SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Namonarayan,Indian National Congress,530968,2060,533028,43.21
2,Laxmi Kant Bairwa,Bahujan Samaj Party,23247,54,23301,1.89
3,Sukhbir Singh Jaunapuria,Bharatiya Janata Party,641561,2758,644319,52.24
4,Ganesh Meena,Indian Peoples Green Party,7166,1,7167,0.58
5,Naresh Kumar Atal,Ambedkarite Party of India,5377,5,5382,0.44
6,Bajrang Lal Meena,Rashtriya Kranti Party,1891,1,1892,0.15
7,Mukesh Kumar,Shivsena,4597,3,4600,0.37
8,Prem Lata Banshiwal,Independent,4794,1,4795,0.39
9,NOTA,None of the Above,8954,20,8974,0.73
,Total, ,1228555,4903,1233458,
