SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUNLAL MEENA,Bharatiya Janata Party,867694,3854,871548,59.92
2,KESULAL MEENA,Bahujan Samaj Party,16303,15,16318,1.12
3,GHANSHYAM SINGH TAWAR,Communist Party of India,18378,8,18386,1.26
4,RAGHUVIR SINGH MEENA,Indian National Congress,431960,1674,433634,29.81
5,KIKA MINA,Communist Party of India (Marxist-Leninist) Red Star,13097,2,13099,0.9
6,PARBHULAL MEENA,Bahujan Mukti Party,4132,34,4166,0.29
7,BIRDHI LAL CHHANWAL,Bhartiya Tribal Party,50953,690,51643,3.55
8,SHANKERLAL,Satya Bahumat Party,5689,1,5690,0.39
9,HARJI LAL MEENA,Ambedkarite Party of India,11853,2,11855,0.82
10,NOTA,None of the Above,28144,35,28179,1.94
,Total, ,1448203,6315,1454518,
