SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BHARAT BASNETT,Indian National Congress,3922,68,3990,1.13
2,DEK BAHADUR KATWAL,Sikkim Democratic Front,149158,5331,154489,43.92
3,INDRA HANG SUBBA,Sikkim Krantikari Morcha,161143,5779,166922,47.46
4,LATEN TSHERING SHERPA,Bharatiya Janata Party,16062,510,16572,4.71
5,BIRAJ ADHIKARI,Hamro Sikkim Party,1943,55,1998,0.57
6,DHIRAJ KUMAR RAI,Sikkim Republican Party,1479,24,1503,0.43
7,NARENDRA ADHIKARI,Sikkim United Front,607,7,614,0.17
8,RABIN RAI,All Indians Party,392,4,396,0.11
9,SUNMAYA GURUNG,Jai Maha Bharath Party,377,6,383,0.11
10,MAHENDRA THAPA,Independent,593,4,597,0.17
11,PASSANG GYALI SHERPA,Independent,1947,56,2003,0.57
12,NOTA,None of the Above,2257,22,2279,0.65
,Total, ,339880,11866,351746,
