SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,D. DOSS,Bahujan Samaj Party,8208,99,8307,0.71
2,S. JAGATHRAKSHAKAN,Dravida Munnetra Kazhagam,666688,5502,672190,57.06
3,M. SAVITHA,Ambedkarite Party of India,4362,136,4498,0.38
4,Y.R. PAVENDHAN,Naam Tamilar Katchi,29065,282,29347,2.49
5,A.K. MOORTHY,Pattali Makkal Katchi,341527,1707,343234,29.14
6,"RAJENDRAN, N.",Makkal Needhi Maiam,23598,173,23771,2.02
7,R. ELAMVAZHUDHI,Independent,851,11,862,0.07
8,PANCHU.UDAYAKUMAR,Independent,827,12,839,0.07
9,B. GANESAN,Independent,908,17,925,0.08
10,M.S. KRISHNAN,Independent,1316,6,1322,0.11
11,Dr.T.M.S.SADHU MUTHU KRISHNAN ERAJENDRAN,Independent,1174,12,1186,0.1
12,P.S. SURESH,Independent,1056,6,1062,0.09
13,S. SHETTU,Independent,1061,6,1067,0.09
14,M. NATARAJAN,Independent,1210,4,1214,0.1
15,N.G. PARTHIBAN,Independent,66595,231,66826,5.67
16,M. PARTHIBAN,Independent,3305,8,3313,0.28
17,G. MOORTHY,Independent,1614,2,1616,0.14
18,C. MOORTHY,Independent,3498,1,3499,0.3
19,R. RAMESH,Independent,799,4,803,0.07
20,NOTA,None of the Above,12015,164,12179,1.03
,Total, ,1169677,8383,1178060,
