SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ELUMALAI V,All India Anna Dravida Munnetra Kazhagam,385294,1660,386954,33.83
2,SIVAPRAKASH K,Bahujan Samaj Party,5623,55,5678,0.5
3,VISHNU PRASAD M K,Indian National Congress,613390,4370,617760,54
4,SAKTHIVEL K,Tamil Nadu Ilangyar Katchi,5291,26,5317,0.46
5,SUNDAR K,Anti Corruption Dynamic Party,1956,16,1972,0.17
6,TAMIZHARASI A,Naam Tamilar Katchi,32151,258,32409,2.83
7,SHAJI V,Makkal Needhi Maiam,14680,96,14776,1.29
8,ELUMALAI K,Independent,892,11,903,0.08
9,ELUMALAI S,Independent,633,8,641,0.06
10,KOTHANDAPANI B,Independent,964,3,967,0.08
11,SENJERAJA K N K,Independent,2935,5,2940,0.26
12,SENTHAMIZHAN G,Independent,46326,57,46383,4.05
13,PERUMAL M,Independent,4907,5,4912,0.43
14,RAMAMURTHY S,Independent,3608,6,3614,0.32
15,RAMAMURTHY C,Independent,1756,4,1760,0.15
16,NOTA,None of the Above,16819,102,16921,1.48
,Total, ,1137225,6682,1143907,
