SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ALAGAAPURAM R. MOHANRAJ,Desiya Murpokku Dravida Kazhagam,129076,392,129468,13.55
2,Dr. KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,589034,1952,590986,61.85
3,S.ROBERT GNANA SEKAR,Bahujan Samaj Party,4413,7,4420,0.46
4,M.L.RAVI,Desiya Makkal Sakthi Katchi,943,2,945,0.1
5,KAMESH,Tamil Nadu Ilangyar Katchi,2665,4,2669,0.28
6,KALIYAMMAL.P,Naam Tamilar Katchi,60411,104,60515,6.33
7,J. SEBASTIN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),900,0,900,0.09
8,K.PRABHAKARAN,Makkalatchi Katchi,678,1,679,0.07
9,L.PRAVEEN KUMAR,People's Party of India(secular),768,0,768,0.08
10,A. G. MOURYA,Makkal Needhi Maiam,102980,187,103167,10.8
11,R.ARULMURUGAN,Independent,614,1,615,0.06
12,S.GANESH,Independent,1459,2,1461,0.15
13,N.SATHEESH KANNAN,Independent,845,2,847,0.09
14,P.SANTHANA KRISHNAN,Independent,33232,45,33277,3.48
15,V.SARAVANAN,Independent,1068,2,1070,0.11
16,G.SRINIVASAN,Independent,1677,0,1677,0.18
17,S.SELVARAJ,Independent,2458,1,2459,0.26
18,C.DHANRAJ,Independent,1115,1,1116,0.12
19,J.DHARANIDHARAN,Independent,402,0,402,0.04
20,A.G.DAMODHARAN,Independent,762,1,763,0.08
21,S.PRITHVIRAJ,Independent,555,0,555,0.06
22,P.MARIMUTHU,Independent,565,1,566,0.06
23,L.RAJ,Independent,531,2,533,0.06
24,NOTA,None of the Above,15619,68,15687,1.64
,Total, ,952770,2775,955545,
