SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KOTTUR R.KUMAR,Bahujan Samaj Party,2397,2,2399,0.21
2,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,563240,1632,564872,50.17
3,Dr.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,302152,497,302649,26.88
4,SAIKUMAR.S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1489,2,1491,0.13
5,S.SRINIVASAN (A) POWER STAR,Republican Party of India,665,5,670,0.06
6,V.THIRUNAVUKARASU,Makkalatchi Katchi,435,1,436,0.04
7,Dr.A.NARESH,Tamil Nadu Ilangyar Katchi,1379,2,1381,0.12
8,K.MURALI KRISHNAN,Pyramid Party of India,860,0,860,0.08
9,R.RANGARAJAN,Makkal Needhi Maiam,135334,131,135465,12.03
10,R.JOHNSON,Indian Christian Front,512,0,512,0.05
11,M.A.JAYAKUMAR,Desiya Makkal Sakthi Katchi,638,1,639,0.06
12,A.J.SHERINE,Naam Tamilar Katchi,50156,66,50222,4.46
13,AGNI SRIRAMACHANDRAN,Independent,1443,1,1444,0.13
14,S.ASHOK,Independent,347,1,348,0.03
15,P.AZHAGIRI,Independent,553,0,553,0.05
16,S.ELANKUMARAN,Independent,958,1,959,0.09
17,R.GANESAN,Independent,673,0,673,0.06
18,K.KANNAN,Independent,635,0,635,0.06
19,B.KARTHIKEYAN,Independent,533,0,533,0.05
20,D.KARTHICK,Independent,1203,0,1203,0.11
21,K.SARAVANA PERUMAL,Independent,1645,0,1645,0.15
22,I.CHIDAMBARA ANANTHA RAJA (A) ICARR WEEOUI,Independent,743,0,743,0.07
23,SIBI CHAKKARAVARTHY,Independent,647,0,647,0.06
24,K.SUDHAGAR,Independent,224,0,224,0.02
25,N.SUBRAMANI,Independent,431,1,432,0.04
26,Dr.E.SUBAYA (A) ESAKKI SUBAYA,Independent,29482,40,29522,2.62
27,E.DHANASEKARAN,Independent,350,0,350,0.03
28,G.DHANASEKARAN,Independent,437,0,437,0.04
29,G.DEVASAHAYAM,Independent,462,0,462,0.04
30,KUPPAL.G.DEVADOSS,Independent,313,0,313,0.03
31,S.MANOVA,Independent,292,1,293,0.03
32,MURTHY.M,Independent,1429,0,1429,0.13
33,A.RAVICHANDRAN,Independent,427,0,427,0.04
34,M.RADHA,Independent,1040,2,1042,0.09
35,B.RAJI,Independent,220,0,220,0.02
36,M.RAJESWARI PRIYA,Independent,771,1,772,0.07
37,C.ROSI,Independent,498,0,498,0.04
38,J.JANCI RANI,Independent,379,0,379,0.03
39,FARMER K.JAYARAMAN,Independent,963,5,968,0.09
40,D.HARI HARAN,Independent,217,2,219,0.02
41,NOTA,None of the Above,16838,53,16891,1.5
,Total, ,1123410,2447,1125857,
