SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RADHAKRISHNAN. C.P,Bharatiya Janata Party,390823,1184,392007,31.34
2,GOVINDAN. P,Bahujan Samaj Party,4296,18,4314,0.34
3,NATARAJAN. P.R,Communist Party of India (Marxist),567741,3409,571150,45.66
4,KALYANA SUNDARAM. S,Naam Tamilar Katchi,60391,128,60519,4.84
5,MAHENDRAN. R,Makkal Needhi Maiam,144808,296,145104,11.6
6,MANIKANDAN. P,Tamil Nadu Ilangyar Katchi,2302,5,2307,0.18
7,APPATHURAI. N.R.,Independent,37989,72,38061,3.04
8,KANAGASABAPATHY. G,Independent,2726,1,2727,0.22
9,KRISHNAN. V,Independent,2915,1,2916,0.23
10,DHANAPAL. M,Independent,1533,5,1538,0.12
11,NATARAJAN. A,Independent,1364,6,1370,0.11
12,PUSHPANANTHAM. V,Independent,1421,1,1422,0.11
13,RADHAKRISHNAN. U,Independent,2630,3,2633,0.21
14,RADHAKRISHNAN. P,Independent,1624,3,1627,0.13
15,NOTA,None of the Above,23081,109,23190,1.85
,Total, ,1245644,5241,1250885,
