SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Selvam.G,Dravida Munnetra Kazhagam,680087,3917,684004,55.27
2,Sekar.D,Bahujan Samaj Party,5002,16,5018,0.41
3,Maragatham K,All India Anna Dravida Munnetra Kazhagam,396432,940,397372,32.11
4,Sivaranjani.D,Naam Tamilar Katchi,62607,164,62771,5.07
5,Elangovan M,Independent,2271,1,2272,0.18
6,Devarajan C,Independent,1307,5,1312,0.11
7,Pon Jeyaraman S P,Independent,2496,13,2509,0.2
8,Maragadam M,Independent,1631,9,1640,0.13
9,Munusamy A,Independent,55157,56,55213,4.46
10,Ramesh S,Independent,2239,4,2243,0.18
11,Vinothraj R,Independent,1597,0,1597,0.13
12,NOTA,None of the Above,21591,70,21661,1.75
,Total, ,1232417,5195,1237612,
