SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RADHAKRISHNAN. P,Bharatiya Janata Party,364598,2704,367302,35.04
2,BALASUBRAMANIAN. E,Bahujan Samaj Party,1970,19,1989,0.19
3,Vasanthakumar. H,Indian National Congress,624627,2608,627235,59.83
4,EBENEZER. J,Makkal Needhi Maiam,8530,60,8590,0.82
5,SUBI. T,The Future India Party,815,5,820,0.08
6,PAULRAJ. C.M.,Communist Party of India (Marxist-Leninist) Red Star,761,17,778,0.07
7,Jackson. M. S.,Democratic Corruption Liberation Front,593,3,596,0.06
8,JAINTEEN. V,Naam Tamilar Katchi,16810,259,17069,1.63
9,ESAKKIMUTHU. N,Independent,517,3,520,0.05
10,ENOSE. M,Independent,407,3,410,0.04
11,Santhakumar. N,Independent,859,5,864,0.08
12,NAGOOR MEERAN PEER MOHAMED. U,Independent,491,2,493,0.05
13,PEACHI MUTHU. E,Independent,814,0,814,0.08
14,RAVI KUMAR. T,Independent,2419,2,2421,0.23
15,LEKSHMANAN. E,Independent,12326,19,12345,1.18
16,NOTA,None of the Above,6088,43,6131,0.58
,Total, ,1042625,5752,1048377,
