SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AadhiKrishnan P,Bahujan Samaj Party,3047,12,3059,0.28
2,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,274455,696,275151,24.94
3,Jothimani S,Indian National Congress,691518,4179,695697,63.06
4,Karuppaiya R,Naam Tamilar Katchi,38399,144,38543,3.49
5,Noyyal Ramasamy M,Tamil Nadu Ilangyar Katchi,1258,6,1264,0.11
6,Manoharan M,Anaithu Makkal Puratchi Katchi,413,1,414,0.04
7,Ramamoorthy R,Ulzaipali Makkal Katchy,715,2,717,0.06
8,Joseph M A,Desiya Makkal Sakthi Katchi,398,0,398,0.04
9,Jothikumar J,Desiya Uzhavar Uzhaipalar Kazhagam,969,0,969,0.09
10,Hariharan Dr R,Makkal Needhi Maiam,15915,52,15967,1.45
11,Anbazhagan T,Independent,665,1,666,0.06
12,Anbukani S,Independent,1139,6,1145,0.1
13,Ulaganathan T,Independent,823,1,824,0.07
14,Ebeneezer S,Independent,1949,1,1950,0.18
15,Kanagaraj R T,Independent,1299,1,1300,0.12
16,Karthi P,Independent,2174,1,2175,0.2
17,Karthikeyan B K,Independent,2296,0,2296,0.21
18,Karthikeyan M,Independent,1583,2,1585,0.14
19,Sathishkumar S,Independent,1525,1,1526,0.14
20,Saraswathi K,Indian New Congress Party,860,0,860,0.08
21,Sivakumar V,Independent,378,0,378,0.03
22,Selvaraj K,Independent,697,0,697,0.06
23,Thangavel P S N,Independent,31099,40,31139,2.82
24,Dasaprakash K,Independent,813,0,813,0.07
25,Nagajothi M,Independent,393,4,397,0.04
26,Palanivel P,Independent,548,1,549,0.05
27,Babu G,Independent,313,0,313,0.03
28,Pitchaimuthu T,Independent,296,0,296,0.03
29,Prakash N,Independent,506,0,506,0.05
30,Prabakaran T,Independent,1127,2,1129,0.1
31,Pushpahenryraj S,Independent,884,3,887,0.08
32,Mahamuni A,Independent,2867,0,2867,0.26
33,Magudeeswaran K,Independent,720,0,720,0.07
34,Muthu K R P,Independent,920,0,920,0.08
35,Muthukumar G,Independent,1045,0,1045,0.09
36,Ravi S P,Independent,511,1,512,0.05
37,Ramachandran M,Independent,1466,0,1466,0.13
38,Rajalingam M,Independent,396,1,397,0.04
39,Rajesh Kannan K,Independent,270,0,270,0.02
40,Varadan M,Independent,639,0,639,0.06
41,Vigneshwaran P,Independent,697,3,700,0.06
42,Vinothkumar N,Independent,416,0,416,0.04
43,NOTA,None of the Above,9546,57,9603,0.87
,Total, ,1097947,5218,1103165,
