SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr.A.CHELLAKUMAR,Indian National Congress,609396,1902,611298,52.64
2,K.P.MUNUSAMY,All India Anna Dravida Munnetra Kazhagam,453388,1145,454533,39.14
3,MADHUSOODHANAN.N,Naam Tamilar Katchi,27757,243,28000,2.41
4,SRI KARUNYA SUBRAHMANYAM,Makkal Needhi Maiam,16895,100,16995,1.46
5,N.ASLAM RAHMAN SHERIFF,Independent,805,17,822,0.07
6,AJAZ.S,Independent,682,6,688,0.06
7,S.GANESA KUMAR,Independent,8850,17,8867,0.76
8,T.V.S.GANDHI,Independent,924,10,934,0.08
9,K.KUPPAN,Independent,1064,14,1078,0.09
10,M.KUMARESAN,Independent,1251,8,1259,0.11
11,B.GOVINDAN,Independent,5387,3,5390,0.46
12,DEVAPPA.Y,Independent,1521,1,1522,0.13
13,NAGESH.L,Independent,1628,1,1629,0.14
14,M.MEENA,Independent,2572,12,2584,0.22
15,N.SRINIVASA,Independent,5942,3,5945,0.51
16,NOTA,None of the Above,19731,94,19825,1.71
,Total, ,1157793,3576,1161369,
