SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASAIMANI. S,All India Anna Dravida Munnetra Kazhagam,337448,530,337978,30.8
2,RAMALINGAM. S,Dravida Munnetra Kazhagam,595845,3447,599292,54.62
3,KALYANA SUNDARAM. N,Bahujan Samaj Party,3173,10,3183,0.29
4,SUBHASHINI. K,Naam Tamilar Katchi,40929,127,41056,3.74
5,REFAYUDEEN. M,Makkal Needhi Maiam,16954,51,17005,1.55
6,HABEEB MOHAMED. U,All Pensioner’s Party,892,0,892,0.08
7,ANNADURAI. K,Independent,324,1,325,0.03
8,ABDUL BASEETH,Independent,368,3,371,0.03
9,ARAVAAZHI. K,Independent,609,2,611,0.06
10,KANNAPIRAN. M,Independent,465,0,465,0.04
11,KANNAN. R,Independent,431,2,433,0.04
12,KRITHIVASAN. S,Independent,902,4,906,0.08
13,SHANMUGAM. M,Independent,728,0,728,0.07
14,SAMIDURAI. E,Independent,601,2,603,0.05
15,SRINIVASAN. V,Independent,2158,0,2158,0.2
16,SUGUMARAN. K,Independent,2473,0,2473,0.23
17,SUBRAMANIAN. P,Independent,3192,0,3192,0.29
18,SENTHAMIZHAN. S,Independent,68928,102,69030,6.29
19,THIRUGNANASAMBANDAM. D,Independent,1100,1,1101,0.1
20,THIRUNAVUKKARASU. R,Independent,476,2,478,0.04
21,KAPPUR DHAKSHINAMOORTHY. M,Independent,1029,0,1029,0.09
22,DEVADOS. P,Independent,1303,0,1303,0.12
23,RAJASEKAR. A,Independent,1335,2,1337,0.12
24,RAJA. N,Independent,263,0,263,0.02
25,RAJESH. P,Independent,415,0,415,0.04
26,VANIDHAS. M,Independent,777,0,777,0.07
27,VILVANATHAN. M,Independent,1608,0,1608,0.15
28,NOTA,None of the Above,8191,40,8231,0.75
,Total, ,1092917,4326,1097243,
