SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"ASHOK KUMAR, R.",Bahujan Samaj Party,4082,6,4088,0.4
2,"RAJA, A.",Dravida Munnetra Kazhagam,545463,2369,547832,54.2
3,"THIYAGARAJAN, M.",All India Anna Dravida Munnetra Kazhagam,341649,360,342009,33.84
4,"RAJENTHIRAN, N.",Makkal Needhi Maiam,41055,114,41169,4.07
5,"ARUMUKAM, P.",Independent,1619,2,1621,0.16
6,"RAMASWAMY, M.",Independent,40392,27,40419,4
7,"SUBRAMANI, M.",Independent,5219,10,5229,0.52
8,"NAGARAJAN, A.",Independent,2199,0,2199,0.22
9,"RAJARATHINAM, M.",Independent,4746,1,4747,0.47
10,"RAJA, K.",Independent,3254,3,3257,0.32
11,NOTA,None of the Above,18096,53,18149,1.8
,Total, ,1007774,2945,1010719,
