SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GANESHA MOORTHY. A,Bahujan Samaj Party,3177,10,3187,0.29
2,SHANMUGA SUNDARAM. K,Dravida Munnetra Kazhagam,550905,3325,554230,51.23
3,MAHENDRAN. C,All India Anna Dravida Munnetra Kazhagam,377546,801,378347,34.97
4,SANUJA. U,Naam Tamilar Katchi,31399,84,31483,2.91
5,MOOKAMBIKA. R,Makkal Needhi Maiam,59545,148,59693,5.52
6,ANSARI. S,Independent,908,0,908,0.08
7,SHANMUGA SUNDARAM. K.N.,Independent,711,3,714,0.07
8,SHANMUGA SUNDARAM. V,Independent,1271,2,1273,0.12
9,BALAJI. G,Independent,804,2,806,0.07
10,MANICKAVEL. C,Independent,533,1,534,0.05
11,MUTHUKUMAR. C,Independent,943,0,943,0.09
12,MUTHUKUMAR. S,Independent,26631,32,26663,2.46
13,RAMASAMY. K,Independent,2734,3,2737,0.25
14,RAJENDHIRAN. R.G.,Independent,5245,2,5247,0.48
15,NOTA,None of the Above,15068,42,15110,1.4
,Total, ,1077420,4455,1081875,
